date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:56	38791/38791	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Dec%202020%2008:03:55%20GMT	http://corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.eot?	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regulard41d.eot	(from http://corpthemes.com/html/isuzu/stylesheets/bootstrap.css)
11:33:57	38791/38791	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Dec%202020%2008:03:56%20GMT	http://corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.woff2	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.woff2	(from http://corpthemes.com/html/isuzu/stylesheets/bootstrap.css)
11:33:58	38791/38791	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Dec%202020%2008:03:58%20GMT	http://corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.woff	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.woff	(from http://corpthemes.com/html/isuzu/stylesheets/bootstrap.css)
11:34:00	38791/38791	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Dec%202020%2008:03:59%20GMT	http://corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.ttf	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.ttf	(from http://corpthemes.com/html/isuzu/stylesheets/bootstrap.css)
11:34:01	38791/38791	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Dec%202020%2008:04:00%20GMT	http://corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.svg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/fonts/glyphicons-halflings-regular.svg	(from http://corpthemes.com/html/isuzu/stylesheets/bootstrap.css)
11:34:01	28747/28747	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Feb%202016%2017:06:28%20GMT	http://corpthemes.com/html/isuzu/stylesheets/font-awesome.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/font-awesome.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:03	96554/96554	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Mar%202016%2019:58:56%20GMT	http://corpthemes.com/html/isuzu/stylesheets/icomoon.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/icomoon.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:05	7252/7252	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Oct%202016%2023:09:52%20GMT	http://corpthemes.com/html/isuzu/stylesheets/flexslider.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/flexslider.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:05	6857/6857	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202016%2019:52:50%20GMT	http://corpthemes.com/html/isuzu/stylesheets/owl.carousel.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/owl.carousel.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:05	23555/23555	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202016%2020:38:58%20GMT	http://corpthemes.com/html/isuzu/stylesheets/shortcodes.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/shortcodes.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
